#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
node-1 relay-3 48 44 15 1000 297 4.97714465167000000000 .04846031820698768327 .002 .29076212797000000000 .09129787583891416035 .00047169811320754716 1.44716517013407361420 .00241865902720778730 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 1347 4.96157770042666666666 .05547992212416030563 .002 .35284750453000000000 .15210631828228515146 .00047169811320754716 1.75068031012724524959 .00244444725669408543 -1 OK|990+/-2
node-1 relay-3 48 44 15 1000 1272 4.96263716655666666666 .05513016677104613611 .002 .34850450629000000000 .14922968716231293379 .00047169811320754716 1.72950141562723561597 .00244243279261168003 -1 OK|990+/-2
node-1 relay-3 48 44 15 1000 597 4.97271284381333333333 .05117258914064628643 .002 .30838815853333333333 .11510973499487334472 .00047169811320754716 1.53352575681864907918 .00242535415271428143 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 822 4.96904026732000000000 .05174891965589128943 .002 .32303622784666666666 .13001714428024155199 .00047169811320754716 1.60518002397324496127 .00243129913933722067 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 72 4.97998863550666666666 .03961197295611891369 .002 .28015863832000000000 .07153031424952838154 .00047169811320754716 1.39518683497262253661 .00241495283463447790 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 672 4.97148262576000000000 .05172132074982087539 .002 .31289752284333333333 .11993288968488080555 .00047169811320754716 1.55556459845897438109 .00242710264116116852 -1 OK|988+/-4
node-1 relay-3 48 44 15 1000 747 4.97009806918000000000 .05180956913551248092 .002 .31754498437333333333 .12494776193467224625 .00047169811320754716 1.57822971371169727226 .00242888542971124720 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 522 4.97334307705333333333 .05184307685728991866 .002 .30487553293000000000 .11121101567267744709 .00047169811320754716 1.51625062106036105403 .00242386484814663707 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 1122 4.96449971833333333333 .05321115399685510926 .002 .34121145354666666666 .14500537564897663389 .00047169811320754716 1.69394416502453391765 .00243915382303174557 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 1197 4.96334500576000000000 .05451544723328905828 .002 .34545229285666666666 .14763835295641402961 .00047169811320754716 1.71459891247847742348 .00244101798599701432 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 147 4.97886577025666666666 .04405527742939434265 .002 .28437027547333333333 .07946122302213657943 .00047169811320754716 1.41584143063263825181 .00241640631347113890 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 1047 4.96554398000666666666 .05321186316252186090 .002 .33687860964333333333 .14145315473596877043 .00047169811320754716 1.67278555210746963784 .00243721692871142063 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 972 4.96663427147666666666 .05257643836403137882 .002 .33274315961666666666 .13826603905747310439 .00047169811320754716 1.65261358015156746216 .00243543816266363659 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 372 4.97567063293666666666 .05140894553703530243 .002 .29727678417666666666 .10139594510320333741 .00047169811320754716 1.47915136488169188746 .00242115071232582297 -1 OK|988+/-4
node-1 relay-3 48 44 15 1000 897 4.96759480551333333333 .05225316221618726339 .002 .32914654505333333333 .13609720820411519389 .00047169811320754716 1.63506666745959900770 .00243391863438544305 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 222 4.97770588088000000000 .04682901603193322297 .002 .28905391073000000000 .08796981711921957548 .00047169811320754716 1.43882535133208353384 .00241809693249221504 -1 OK|989+/-3
node-1 relay-3 48 44 15 1000 1422 4.95991900171666666666 .05692715309013172090 .002 .36039063482333333333 .15650801341836253254 .00047169811320754716 1.78750835770098323309 .00244809741760835367 -1 OK|990+/-1
node-1 relay-3 48 44 15 1000 447 4.97456258239666666666 .05264647399884480858 .002 .30235540255000000000 .10861106745343234775 .00047169811320754716 1.50408587211071169377 .00242315885795482670 -1 OK|990+/-1
node-1 relay-3 48 44 15 2600 297 4.96489872679000000000 .08673250212075449734 .002 .34388788527000000000 .14185067615832880572 .00047169811320754716 1.70736852373552859538 .00244083743439709028 -1 OK|2589+/-3
node-1 relay-3 48 44 15 2600 1347 4.92388763978666666666 .09565738459317477267 .002 .50564295548333333333 .16400831227664886570 .00047169811320754716 2.48972909864958472881 .00253320282989867789 -1 OK
node-1 relay-3 48 44 15 2600 1272 4.92687810817333333333 .11332645576081448634 .002 .49351934833000000000 .16727066493814734551 .00047169811320754716 2.43150967324704671334 .00252491925434539193 -1 OK|2589+/-4
node-1 relay-3 48 44 15 2600 597 4.95367156655666666666 .10747622339451929853 .002 .38854915289333333333 .16297311646402107426 .00047169811320754716 1.92474489089738432605 .00246246964041759304 -1 OK|2589+/-1
node-1 relay-3 48 44 15 2600 822 4.94433200013666666666 .11706748891361393581 .002 .42511527629666666666 .17105257779161545667 .00047169811320754716 2.10191106434054958105 .00248237757940298639 -1 OK|2590+/-1
node-1 relay-3 48 44 15 2600 72 4.97383660679666666666 .07394951909597307327 .002 .31126705000333333333 .11476925644743225973 .00047169811320754716 1.54819144779618783850 .00242733710978224242 -1 OK|2590+/-1
node-1 relay-3 48 44 15 2600 672 4.95093848222000000000 .11078251495163007247 .002 .39934451965333333333 .16593549771365922335 .00047169811320754716 1.97713015001534909388 .00246814830465626396 -1 OK|2589+/-3
node-1 relay-3 48 44 15 2600 747 4.94814447641333333333 .11351842536931608073 .002 .41004751326000000000 .16823426019049884254 .00047169811320754716 2.02897433780449205723 .00247391467581452776 -1 OK|2590+/-1
