#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
relay-3 node-1 48 44 15 1000 372 4.98383100232000000000 .00581550858406109224 .002 .26476226911666666666 .00861692015928465708 .00047169811320754716 1.31953040506823441431 .00240976270203746825 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 147 4.98397107620000000000 .00570354891700723296 .002 .26429987991000000000 .00829541855119287214 .00047169811320754716 1.31726295691457345914 .00240962412198817639 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 1422 4.98334736684000000000 .00587142320201582812 .002 .26716262788000000000 .00956220070755618159 .00047169811320754716 1.33136417816385277149 .00241059971163387058 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 1197 4.98351743072666666666 .00587096315583134280 .002 .26658082448000000000 .00943828514619336927 .00047169811320754716 1.32851018549356608552 .00241042028939712088 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 1272 4.98326650755000000000 .00586049527859856141 .002 .26678934798333333333 .00945511064406961712 .00047169811320754716 1.32948242237644713559 .00241039714674345522 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 447 4.98376610379333333333 .00584262735466573205 .002 .26510832599666666666 .00872431091588992087 .00047169811320754716 1.32123788893558029624 .00240988502025301406 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 822 4.98359259486000000000 .00589476765724095524 .002 .26573973559666666666 .00916324441617259874 .00047169811320754716 1.32433857847960234366 .00241008334822529114 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 297 4.98386360109000000000 .00578910861848461088 .002 .26486608945666666666 .00852539020850726339 .00047169811320754716 1.32005646240612881480 .00240982333845692307 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 522 4.98377356340000000000 .00585772279211254584 .002 .26515097872666666666 .00879740198041630867 .00047169811320754716 1.32145243808759712790 .00240990722280960434 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 597 4.98360374332000000000 .00587781240875246119 .002 .26536573560333333333 .00890048323203822512 .00047169811320754716 1.32247767330163739865 .00240992363685576975 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 1122 4.98335848257333333333 .00586563117575991219 .002 .26653403198333333333 .00936663193576484033 .00047169811320754716 1.32823462917861629428 .00241032647200970889 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 747 4.98390633734333333333 .00588095238138199092 .002 .26575463723000000000 .00904476294752312344 .00047169811320754716 1.32449622066897555195 .00241023426897619228 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 72 4.98435956129000000000 .00566847340389832207 .002 .26417714647333333333 .00821125747309650435 .00047169811320754716 1.31675388589866780400 .00240974907417871622 -1 OK|990+/-4
relay-3 node-1 48 44 15 1000 1047 4.98372191167333333333 .00588007332835055297 .002 .26626303031000000000 .00934321970496267523 .00047169811320754716 1.32698089842448789615 .00241037385287748464 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 1347 4.98356109558000000000 .00586523339745718473 .002 .26698795547666666666 .00950936074696561240 .00047169811320754716 1.33055078790196119442 .00241062061203314612 -1 OK|990+/-4
relay-3 node-1 48 44 15 1000 972 4.98355457903333333333 .00588175692680360686 .002 .26631334419333333333 .00926177163566544918 .00047169811320754716 1.32718708591236650606 .00241031910735567542 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 222 4.98406723053666666666 .00576899137624112764 .002 .26455396979666666666 .00844442809503800914 .00047169811320754716 1.31855477157195339365 .00240977990149991706 -1 OK|990+/-1
relay-3 node-1 48 44 15 1000 672 4.98369591667333333333 .00587584421982018767 .002 .26563291031333333333 .00897156545789151448 .00047169811320754716 1.32383365046261310660 .00241008378015564637 -1 OK|990+/-5
relay-3 node-1 48 44 15 1000 897 4.98371352256333333333 .00589270185212730918 .002 .26599385522333333333 .00922388098154211061 .00047169811320754716 1.32563717319527986833 .00241025111234311226 -1 OK|990+/-1
relay-3 node-1 48 44 15 2600 372 4.98345404463666666666 .00614789045958892878 .002 .26658592574333333333 .00941232760141377197 .00047169811320754716 1.32851870988882457874 .00241039338763612608 -1 OK
relay-3 node-1 48 44 15 2600 147 4.98385678302333333333 .00593455359517594212 .002 .26533813532333333333 .00878418163571717988 .00047169811320754716 1.32240726552595795464 .00241002790943462519 -1 OK|2587+/-5
relay-3 node-1 48 44 15 2600 1422 4.98223958458666666666 .00629247828735030916 .002 .27183098165666666666 .00996573241792555204 .00047169811320754716 1.35432707712689674003 .00241217733544473052 -1 OK|2547+/-14
relay-3 node-1 48 44 15 2600 1197 4.98251077555666666666 .00632245086565816500 .002 .27086310653666666666 .01012222071340427253 .00047169811320754716 1.34957834701969506185 .00241186644069495274 -1 OK|2590+/-1
relay-3 node-1 48 44 15 2600 1272 4.98246890461333333333 .00634370281083105988 .002 .27112620465333333333 .01012951490952970955 .00047169811320754716 1.35087788391106417211 .00241196543859988798 -1 OK|2590+/-2
relay-3 node-1 48 44 15 2600 447 4.98353463227666666666 .00620750332359190847 .002 .26688962201000000000 .00958807748178727485 .00047169811320754716 1.33005367428206391240 .00241056488320790900 -1 OK|2590+/-1
relay-3 node-1 48 44 15 2600 822 4.98293586958666666666 .00634867788775390856 .002 .26893830686333333333 .01014539162609272466 .00047169811320754716 1.34010233597520968757 .00241120016831572695 -1 OK|2590+/-1
