#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
relay-3 alix 48 44 15 1000 447 4.98376668378000000000 .00588808118715130574 .002 .26454895367000000000 .00871344928958610511 .00047169811320754716 1.31845026152940476047 .00240963939099106902 -1 OK|990+/-4
relay-3 alix 48 44 15 1000 1122 4.98339842568000000000 .00592629174391226288 .002 .26596925579666666666 .00935340344052087812 .00047169811320754716 1.32543077061638988082 .00241009528827825809 -1 OK|989+/-3
relay-3 alix 48 44 15 1000 822 4.98353516410000000000 .00593344105938090531 .002 .26541612383000000000 .00912858215504905230 .00047169811320754716 1.32271058622592497050 .00240991427842774316 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 522 4.98381738875333333333 .00589269567505386875 .002 .26485212384333333333 .00879755630837030505 .00047169811320754716 1.31997462025865598782 .00240979593357727077 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 747 4.98335564145666666666 .00591372008591750899 .002 .26530587466333333333 .00902800905368891175 .00047169811320754716 1.32211352721511749194 .00240978311658027432 -1 OK|990+/-5
relay-3 alix 48 44 15 1000 972 4.98355786845666666666 .00591437347296975066 .002 .26581274783333333333 .00924372584230172795 .00047169811320754716 1.32469321100089610749 .00241009957732297650 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 372 4.98392320538333333333 .00584298057400994959 .002 .26460290291000000000 .00862389777535790309 .00047169811320754716 1.31876054802494213933 .00240973511364277754 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 222 4.98387041459000000000 .00579394048991442437 .002 .26429791632666666666 .00844421832173049573 .00047169811320754716 1.31722656581825732983 .00240957693518085867 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 897 4.98352330116666666666 .00591856871665924649 .002 .26570469668666666666 .00918002339626101061 .00047169811320754716 1.32414554716742494543 .00241003601417227580 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 297 4.98372801068000000000 .00585556526123832301 .002 .26449020161333333333 .00861299025601963803 .00047169811320754716 1.31814722633076985988 .00240959579565913295 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 1347 4.98315743482333333333 .00588233912737504109 .002 .26664596516666666666 .00947182291790856539 .00047169811320754716 1.32873882378591856028 .00241028350867599390 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 72 4.98387101621333333333 .00569829304072038576 .002 .26402702414333333333 .00822904922048596510 .00047169811320754716 1.31587663312501699475 .00240945841725011930 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 672 4.98363330986666666666 .00589754638384702659 .002 .26530066042000000000 .00894998274034549521 .00047169811320754716 1.32216120839873716880 .00240990858175061279 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 597 4.98369145289000000000 .00588025961040448111 .002 .26518789208666666666 .00887133715771442146 .00047169811320754716 1.32161463120223633376 .00240988568777711114 -1 OK|990+/-5
relay-3 alix 48 44 15 1000 147 4.98392553505666666666 .00577039956247266554 .002 .26416696450333333333 .00837248044226176977 .00047169811320754716 1.31658847990657105392 .00240954486166699540 -1 OK|990+/-1
relay-3 alix 48 44 15 1000 1422 4.98331407654333333333 .00589250660899430557 .002 .26680097066000000000 .00953975077791005554 .00047169811320754716 1.32955303272540287088 .00241042417406018395 -1 OK|990+/-4
relay-3 alix 48 44 15 1000 1197 4.98370233083333333333 .00587965063884366772 .002 .26635683945666666666 .00937609092456815128 .00047169811320754716 1.32744320163358963354 .00241040630264403142 -1 OK|990+/-5
relay-3 alix 48 44 15 1000 1047 4.98370921532333333333 .00588492113168377813 .002 .26607537980000000000 .00928686501312245089 .00047169811320754716 1.32604232227991589646 .00241028512402117480 -1 OK|989+/-3
relay-3 alix 48 44 15 1000 1272 4.98357665120666666666 .00587000107344327578 .002 .26651193451666666666 .00943503755073381835 .00047169811320754716 1.32818265412518010344 .00241041706018497968 -1 OK|990+/-1
relay-3 alix 48 44 15 2600 447 4.98356891852000000000 .00620867295721616343 .002 .26668208520666666666 .00953272290937204940 .00047169811320754716 1.32902855096204629066 .00241048877797010081 -1 OK
relay-3 alix 48 44 15 2600 1122 4.98254929674000000000 .00632872255992651648 .002 .27007295134666666666 .01009723414677558618 .00047169811320754716 1.34565179380083023590 .00241152968960338533 -1 OK
relay-3 alix 48 44 15 2600 822 4.98292176901333333333 .00634375313543998415 .002 .26862877152666666666 .01007431021855464454 .00047169811320754716 1.33855615342353641425 .00241105566114229515 -1 OK|2590+/-1
