#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
node-1 node-2 24 44 15 400 597 19.47518493662666666666 .11190512150462483202 .002 .33971130192666666666 .15834441290995856589 .00047169811320754716 6.61594043008405219243 .00921149861936285913 0 ERR|0+/-0
node-1 node-2 24 44 15 400 1197 19.47510872695333333333 .11205322522147184479 .002 .34142223856333333333 .15820173552682467288 .00047169811320754716 6.64923521782071590434 .00921171579326533391 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 672 19.47498418123333333333 .11203685939142005769 .002 .34117179685666666666 .15852892333680044854 .00047169811320754716 6.64431534686653561019 .00921162009082343017 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 522 19.47516685060000000000 .11189350705648809437 .002 .34125655507000000000 .15816167839316966195 .00047169811320754716 6.64602834884921736254 .00921171857713488552 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 897 19.47515147388000000000 .11192088390441045931 .002 .34265928482666666666 .15785507907412194537 .00047169811320754716 6.67334147593072405353 .00921191963055219289 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 1272 19.47522785497333333333 .11208154572313603174 .002 .34166318882666666666 .15831801358690974357 .00047169811320754716 6.65396845205611241496 .00921180756568625460 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 447 19.47510095756000000000 .11189635584572262565 .002 .34146913183666666666 .15813104146287683534 .00047169811320754716 6.65014581640944888138 .00921171909121046906 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 372 19.47513671726000000000 .11197575328296998056 .002 .34156891494666666666 .15798126715666650206 .00047169811320754716 6.65210131695248601451 .00921175071013296527 0 ERR|0+/-0
node-1 node-2 24 44 15 400 747 19.47512796756666666666 .11202980708228561012 .002 .34164432013333333333 .15805136102358684212 .00047169811320754716 6.65356685398897961694 .00921175777952209021 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 72 19.47511444046000000000 .11172778250449792619 .002 .34288929953666666666 .15772736005415943675 .00047169811320754716 6.67780834888575138712 .00921193644563267435 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 1422 19.47514730275333333333 .11206279782545015197 .002 .34157157853333333333 .15802699887473282759 .00047169811320754716 6.65215680637064503949 .00921175608460230616 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 1347 19.47514506432666666666 .11215737375192688823 .002 .34165102753666666666 .15791725067051213759 .00047169811320754716 6.65370332265284791454 .00921176681687694046 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 1047 19.47515927130666666666 .11186823090726500096 .002 .34204919175333333333 .15822603598171281665 .00047169811320754716 6.66146248801788149722 .00921183260333414493 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 1122 19.47512856712666666666 .11215796913963542532 .002 .34164972347000000000 .15821508073793652806 .00047169811320754716 6.65367228950152299912 .00921175886315322574 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 972 19.47484269216000000000 .11187949911542276054 .002 .34180932227666666666 .15769970042906721536 .00047169811320754716 6.65668278205190412688 .00921164807089091251 0 ERR|0+/-0
node-1 node-2 24 44 15 400 297 19.47509876962000000000 .11176541367489830388 .002 .34170817141000000000 .15798539368007868501 .00047169811320754716 6.65480038859599106056 .00921175351816828900 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 822 19.47520424713333333333 .11202885184029160302 .002 .34143396431000000000 .15781453131332770808 .00047169811320754716 6.64949619184568295314 .00921176246442176503 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 222 19.47507339440000000000 .11195767753188661849 .002 .34139872747666666666 .15821084615016806593 .00047169811320754716 6.64876527436284724666 .00921169568728138728 -1 ERR|0+/-0
node-1 node-2 24 44 15 400 147 19.47485958981333333333 .11194977694553336661 .002 .34147686419333333333 .15797721257622387774 .00047169811320754716 6.65021398333492293268 .00921160669837677557 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 597 19.47510200716666666666 .11223778835107955048 .002 .34421657516000000000 .15908753587653237389 .00047169811320754716 6.70365291379855177531 .00921212859452894307 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 1197 19.47536780844000000000 .11187162486448308859 .002 .34356394492666666666 .15928156320955965721 .00047169811320754716 6.69103419316545705638 .00921215617153627123 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 672 19.47504475274000000000 .11216484705127230400 .002 .34385834510000000000 .15889637692099202813 .00047169811320754716 6.69665665942561509057 .00921204814888856190 0 ERR|0+/-0
node-1 node-2 24 44 15 500 522 19.47517558498000000000 .11219802675138938502 .002 .34391723214333333333 .15928850795845608723 .00047169811320754716 6.69784848269174420914 .00921211848300132807 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 897 19.47504935730666666666 .11235027207118100032 .002 .34373830137666666666 .15891143553197072610 .00047169811320754716 6.69432038530733746042 .00921203239440857860 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 1272 19.47501356726666666666 .11230780952101924016 .002 .34409096862000000000 .15913591304797579851 .00047169811320754716 6.70117628224842885916 .00921206822412181552 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 447 19.47518366782000000000 .11223791508055779044 .002 .34416298776666666666 .15884916029063651871 .00047169811320754716 6.70263739842152112353 .00921215899735108132 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 372 19.47520868273333333333 .11221672399198772502 .002 .34367745938333333333 .15911307251464313225 .00047169811320754716 6.69319024104202583624 .00921209825816960280 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 747 19.47485614978666666666 .11241978934843388048 .002 .34377378574666666666 .15907805986213818703 .00047169811320754716 6.69494502548391526757 .00921194680951343422 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 72 19.47506498545333333333 .11232930642743146849 .002 .34427843390000000000 .15887030277537820542 .00047169811320754716 6.70484487329259988153 .00921212042668406175 0 ERR|0+/-0
node-1 node-2 24 44 15 500 1422 19.47506703914000000000 .11230717848425735590 .002 .34423444135000000000 .15894389522404702961 .00047169811320754716 6.70398882247215648443 .00921211481669596321 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 1347 19.47498426993333333333 .11210717015111180492 .002 .34365527321000000000 .15896623388581187123 .00047169811320754716 6.69268104004439205515 .00921198938740726947 -1 ERR|0+/-0
node-1 node-2 24 44 15 500 1047 19.47500682282000000000 .11202836690900703105 .002 .34390632353000000000 .15912311366767760050 .00047169811320754716 6.69757799715769230695 .00921203747142218098 -1 ERR|0+/-0
