#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
node-1 node-2 24 44 15 1200 1322 19.47928576794000000000 .12825000033933628914 .002 .49322247187666666666 .15050267891101459410 .00047169811320754716 9.60762147685533990283 .00924114217215494850 0 OK|1191+/-2
node-1 node-2 24 44 15 1200 772 19.47880021733333333333 .12579642953607644543 .002 .47923018662000000000 .15244399122102136046 .00047169811320754716 9.33482906328634989207 .00923796906715012009 1 OK|1190+/-2
node-1 node-2 24 44 15 1200 697 19.47870540838000000000 .12484679381870611393 .002 .47657627235666666666 .15196194059060392040 .00047169811320754716 9.28308881385938288821 .00923737539385824462 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 947 19.47882685280666666666 .12681631263046014278 .002 .48401931704666666666 .15188639013178040156 .00047169811320754716 9.42812847016575425271 .00923898023988178524 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 497 19.47817556169333333333 .12353848132648005844 .002 .46767499117000000000 .15078074566596569915 .00047169811320754716 9.10945558382263945691 .00923530678105039616 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 1472 19.47941260350666666666 .12877860308317912954 .002 .49739906898000000000 .15071376576132597898 .00047169811320754716 9.68904169326149388321 .00924209704557765017 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 347 19.47798483002000000000 .12197180883777561376 .002 .45996348693333333333 .14965607137008604844 .00047169811320754716 8.95916182085056915767 .00923366797003625044 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 272 19.47785136475333333333 .12139088057124829951 .002 .45664615317666666666 .14917968825396519801 .00047169811320754716 8.89448589786149653490 .00923294668844866774 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 247 19.47762405756000000000 .12093885868741117274 .002 .45522806948333333333 .14872802426317680863 .00047169811320754716 8.86676119784516861272 .00923255987781569440 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 1197 19.47904480938000000000 .12806109487880984019 .002 .49175384836000000000 .15129162994138536625 .00047169811320754716 9.57889524738949762561 .00924071608334096313 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 622 19.47846779560000000000 .12460586649813017451 .002 .47402692880333333333 .15214952405732916807 .00047169811320754716 9.23331826694290237920 .00923673919183768661 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 447 19.47804351513333333333 .12255082786875768539 .002 .46491105650666666666 .15065384897106244520 .00047169811320754716 9.05555778930346536166 .00923468658750006631 1 OK|1190+/-2
node-1 node-2 24 44 15 1200 522 19.47828442190000000000 .12364299866855866400 .002 .46901108090666666666 .15096588921262707979 .00047169811320754716 9.13553123092280586105 .00923562888507187798 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 1097 19.47906839642000000000 .12731269982467651160 .002 .49038496974333333333 .15154906582873161917 .00047169811320754716 9.55224236620674225225 .00924043616251443782 1 OK|1191+/-1
node-1 node-2 24 44 15 1200 747 19.47850461668666666666 .12564112590438397511 .002 .47876597634666666666 .15258045182396053971 .00047169811320754716 9.32564528058104611983 .00923773410435304096 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 472 19.47826507937333333333 .12304187318291696533 .002 .46684813562666666666 .15049869873667739958 .00047169811320754716 9.09339173754744708500 .00923518144903322189 1 OK|1190+/-0
node-1 node-2 24 44 15 1200 1172 19.47923633856000000000 .12784309437663937857 .002 .49148117702000000000 .15114539531459051342 .00047169811320754716 9.57367800312622401189 .00924074788871703500 2 OK|1190+/-2
node-1 node-2 24 44 15 1200 372 19.47774212375333333333 .12192254852438439485 .002 .46134877936666666666 .14975583989589631586 .00047169811320754716 8.98603255361230600909 .00923383049682760366 2 OK|1191+/-1
node-1 node-2 24 44 15 1200 1297 19.47918195735333333333 .12842429985415874569 .002 .49385233737666666666 .15041811512015717975 .00047169811320754716 9.61983953982433653854 .00924122804014671201 2 OK|1190+/-2
node-1 node-2 24 44 15 1200 1272 19.47936903321333333333 .12801423082972106277 .002 .49374673229666666666 .15082829291485818672 .00047169811320754716 9.61787480734996227188 .00924129320642290896 0 OK|1191+/-1
node-1 node-2 24 44 15 1200 422 19.47794903802666666666 .12234297724865213602 .002 .46383750649000000000 .15016582995384633650 .00047169811320754716 9.03460331333758325678 .00923442630814077047 0 OK|1191+/-1
