#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 500 347 11.97224994302666666666 .00850583774872724632 .002 .36527609522000000000 .07026232973753498895 .00047169811320754716 4.37317671018664826833 .00569434499928600831 8098 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 972 11.97223736362000000000 .00876536426342925750 .002 .36726009346666666666 .07135333496889477029 .00047169811320754716 4.39692501316820011960 .00569484954626207925 7708 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1297 11.97224317990000000000 .00864382459651097790 .002 .36841501461000000000 .07155681752640532454 .00047169811320754716 4.41075414603733135833 .00569515065019982329 7829 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 122 11.97221407505333333333 .00851700201494739990 .002 .36459906128333333333 .07039578564469797953 .00047169811320754716 4.36505801324755617947 .00569415465884886200 7638 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 922 11.97221593392666666666 .00853030724259799566 .002 .36687845024333333333 .07100319787561460819 .00047169811320754716 4.39234802781755709087 .00569474112399391953 7648 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 797 11.97221215114000000000 .00848861016826696547 .002 .36664453275000000000 .07130816417060369609 .00047169811320754716 4.38954613013859767983 .00569467909373746976 7623 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 647 11.97221263468666666666 .00843688387656987074 .002 .36560537280666666666 .07102688951583803398 .00047169811320754716 4.37710526362530372867 .00569441207305185809 7564 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1472 11.97222459940666666666 .00834656720437442053 .002 .36790439330000000000 .07139172493938085615 .00047169811320754716 4.40463402769604523997 .00569500992247507150 7708 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 622 11.97220106998000000000 .00840995851165846655 .002 .36622467376666666666 .07099822833700379350 .00047169811320754716 4.38451543112236310344 .00569456584277194304 7645 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1197 11.97222298165333333333 .00836384072152553488 .002 .36809998529000000000 .07136973510038232312 .00047169811320754716 4.40697510343519193987 .00569505972089507767 7791 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1272 11.97221146062000000000 .00820331478371806417 .002 .36798957272000000000 .07129995657991566729 .00047169811320754716 4.40564897990704090628 .00569502579017584958 7795 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 272 11.97219650174000000000 .00814977234255500047 .002 .36532561427333333333 .07046645422385206030 .00047169811320754716 4.37375004119921794546 .00569433270638023046 7551 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 547 11.97219920958666666666 .00813832209374482179 .002 .36613419710333333333 .07071195327122500283 .00047169811320754716 4.38343154516317615352 .00569454170067012504 7613 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 497 11.97219739576000000000 .00811932738709667255 .002 .36584864350666666666 .07067685494600059918 .00047169811320754716 4.38001217703284330078 .00569446744094512581 7626 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1147 11.97221587342000000000 .00812593832260514453 .002 .36729667123666666666 .07126296625760021954 .00047169811320754716 4.39735503763394780811 .00569484893010742296 7679 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 172 11.97220078379333333333 .00805851752871977501 .002 .36477053398666666666 .07034758475615440999 .00047169811320754716 4.36710607289988340177 .00569419236908380186 7530 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 97 11.97221004014666666666 .00809974197343275620 .002 .36578261061000000000 .07054190680629849298 .00047169811320754716 4.37922624325610064062 .00569445638787520085 7624 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 772 11.97221711529333333333 .00802862434701178804 .002 .36708222555666666666 .07067233357045460657 .00047169811320754716 4.39478810352949252176 .00569479420308066005 7648 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 822 11.97221434370000000000 .00816836497627023642 .002 .36678507651000000000 .07108548766596903103 .00047169811320754716 4.39122955404812393648 .00569471632108070682 7695 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 997 11.97221695152000000000 .00801717623242033329 .002 .36776335864333333333 .07103266040940461459 .00047169811320754716 4.40294271649764464293 .00569496990804022949 7785 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 147 11.97220968487333333333 .00818878452607804487 .002 .36507936697000000000 .07074061101586247021 .00047169811320754716 4.37080673298565971796 .00569427570148340903 7645 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1172 11.97221429520666666666 .00807145234549166498 .002 .36802177180666666666 .07123967438573670060 .00047169811320754716 4.40603551737106047572 .00569503543868888492 7711 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1247 11.97222483507333333333 .00800023603666716823 .002 .36704635767666666666 .07105068127956396802 .00047169811320754716 4.39436151899979829949 .00569478856648152741 7704 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 697 11.97220849566000000000 .00813164704095710797 .002 .36677922900666666666 .07102101202617668521 .00047169811320754716 4.39115740154523936936 .00569471207906172285 7594 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1422 11.97222377192666666666 .00815765014218894778 .002 .36903676637333333333 .07156956102553195903 .00047169811320754716 4.41819074708976886397 .00569530258879150160 7799 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 747 11.97222883050000000000 .00820185805192059880 .002 .36785354635000000000 .07131941551399940630 .00047169811320754716 4.40402683301313804367 .00569499876334986748 7628 ERR|0+/-0
