#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 500 1047 11.97236601251333333333 .00598558170473384817 .002 .40011712600333333333 .04801657180047219270 .00047169811320754716 4.79034868038682285668 .00570375768281651057 -8603 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 272 11.97230739313333333333 .00573827599147026214 .002 .39000796472666666666 .03870647767150232749 .00047169811320754716 4.66929523947795561946 .00570092881833995889 -8341 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1247 11.97236861364666666666 .00606591769732188173 .002 .39886558038000000000 .05480205375418039905 .00047169811320754716 4.77536575560547368824 .00570340825376044863 -8574 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1347 11.97238690928666666666 .00613784165383551663 .002 .40226922325666666666 .05354798603527585424 .00047169811320754716 4.81612278252703152422 .00570437290940669481 -8744 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 922 11.97233441168666666666 .00635098215977146325 .002 .39361061029666666666 .05875160018575964369 .00047169811320754716 4.71243785445977253758 .00570193175489120441 -8484 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1222 11.97236247321333333333 .00623451864062960918 .002 .39938029656000000000 .05754117374774958820 .00047169811320754716 4.78152567507575612281 .00570354946284018387 -8698 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 147 11.97227390296000000000 .00654006591480879495 .002 .38217753632333333333 .05946303929896878538 .00047169811320754716 4.57553414442139113514 .00569879152055967739 -8315 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 322 11.97229212200000000000 .00647743518642510077 .002 .38448171616666666666 .05842966241804134298 .00047169811320754716 4.60312742151522337225 .00569941996544899909 -8261 OK|490+/-2
192-168-0-110 node-2 24 44 15 500 1072 11.97235851615666666666 .00625688032760046801 .002 .39770251419333333333 .05721688774778221323 .00047169811320754716 4.76143708269947193094 .00570307864816870555 -8700 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 97 11.97227513086666666666 .00651070550482007902 .002 .38187759426666666666 .05883600266294279479 .00047169811320754716 4.57194362487400450294 .00569871166559420603 -8270 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1297 11.97236570674666666666 .00596250855153571834 .002 .40327531379000000000 .04615697562808572491 .00047169811320754716 4.82815953719689712003 .00570464715228084812 -8618 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 747 11.97231616875333333333 .00630390751599742855 .002 .39233812589666666666 .05806797336618903862 .00047169811320754716 4.69719608829104321873 .00570157242479683318 -8486 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 647 11.97231248052000000000 .00620690664745767623 .002 .39047743982333333333 .05696195810565737740 .00047169811320754716 4.67491792615839093053 .00570105974091407324 -8560 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1447 11.97234226468666666666 .00775846299104538553 .002 .39640562463333333333 .08104130661603846562 .00047169811320754716 4.74590381375717469873 .00570270988236598092 -8639 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1397 11.97233662285333333333 .00781032723462886860 .002 .39524470440333333333 .08105045133561684837 .00047169811320754716 4.73200264951686780658 .00570238491975784023 -8620 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1272 11.97232678039333333333 .00793387020452109803 .002 .39361659160333333333 .08092827012767366912 .00047169811320754716 4.71250646085973332992 .00570192984129455945 -8664 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 472 11.97228208623333333333 .00815691679136602079 .002 .38315414444666666666 .07638867130737761110 .00047169811320754716 4.58722949982488634936 .00569905765095447775 -8414 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 222 11.97226491488000000000 .00814910515001925840 .002 .37912623435000000000 .07375787082294273934 .00047169811320754716 4.53899971381907768212 .00569797201105534564 -8322 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 972 11.97232074981333333333 .00816176907817753135 .002 .39043204614000000000 .08065378697687267802 .00047169811320754716 4.67437768739399875638 .00570105116904062175 -8570 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 297 11.97226813823333333333 .00823902720145946356 .002 .38021249747000000000 .07489479455693888663 .00047169811320754716 4.55200596921820286026 .00569826303168495109 -8342 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 797 11.97231184572000000000 .00807065670718622252 .002 .38761928595333333333 .07913765913220443772 .00047169811320754716 4.64069896884862066974 .00570027921305633413 -8501 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 422 11.97228165391333333333 .00827195815012439905 .002 .38217445456000000000 .07607332753515104021 .00047169811320754716 4.57550021092302285617 .00569879431695003096 -8328 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1197 11.97233772025333333333 .00798944670516575759 .002 .39280310865000000000 .08101089157706805253 .00047169811320754716 4.70277147432316339885 .00570171055411358022 -8542 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1372 11.97234845692000000000 .00791838057711764634 .002 .39479724298666666666 .08172162093476020963 .00047169811320754716 4.72665016286768895872 .00570226645886886015 -8734 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 722 11.97230467936000000000 .00805798058352258193 .002 .38720292532000000000 .07847564224048070668 .00047169811320754716 4.63571139467051662539 .00570016267355904764 -8487 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1422 11.97234461042000000000 .00786227129372467469 .002 .39594631863000000000 .08162979330343199386 .00047169811320754716 4.74040577386552053812 .00570258334193496202 -8708 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 547 11.97229776738000000000 .00814615015820045266 .002 .38346623656000000000 .07709758345954411540 .00047169811320754716 4.59097196783289893141 .00569914894323943599 -8426 ERR|0+/-0
